street,city,state,zip,country,Name,Location,PostalCode,Addess,InUseSince,Rating,Potential.Rating,Area,Energy.Savings,CO2.Savings,BGN.Savings,Investment,Payback,Building.Type1,Building.Type2,Lat,Lng,region
Ulitsa Kaloyanovo 4,Sofia,Sofia-City,1618,Bulgaria,ЖИЛИЩНА СГРАДА,гр.СОФИЯ,1000,УЛ. КАЛОЯНОВО-4,1958,E,C,777,46758,95.78,9352,55977,5.9855,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.6714172363281,23.2574138641357,SW
Bulevard Mitropolit Andrey,Targovishte,Targovishte,7702,Bulgaria,ПГ ПО ЗЕМЕДЕЛИЕ-ТЪРГОВИЩЕ,гр.ТЪРГОВИЩЕ,7700,УЛ. ЦАР СИМЕОН-27,1964,D,B,3454,213030,208.21,64272.95,347203,5.402,"Образователни (училища, колежи и университети)",6,43.2555809020996,26.5684280395507,NE
House Number and Street Not Found,Karnobat,Burgas,8400,Bulgaria,СГРАДА НА ОБЩИНАТА,гр.КАРНОБАТ,8400,БУЛ БЪЛГАРИЯ 12,1934,D,C,653,42350,8.67,6384,49600,7.7694,Сгради за административно обслужване,1,42.6488800048828,26.9840698242187,SE
Ulitsa Borisova 22,Ruse,Ruse,7000,Bulgaria,"ПГ ПО ИКОНОМИКА И УПРАВЛ. ""ЕЛИАС КАНЕТИ""-РУСЕ",гр.РУСЕ,7000,"УЛ. ""БОРИСОВА"" №22",1931,D,C,2802.75,174855,44.7,17817.7,105182.6,5.9032,"Образователни (училища, колежи и университети)",6,43.8454627990722,25.9534645080566,NC
Bulevard Komatevsko shose 25A,Plovdiv,Plovdiv,4004,Bulgaria,ОФИСНА СГРАДА,гр.ПЛОВДИВ,4000,ул. КОМАТЕВСКО ШОСЕ №26,2006,C,B,774,4808,3.94,827,7186,8.6892,Сгради за административно обслужване,1,42.1271133422851,24.7210273742675,SC
Bulevard Elin Pelin 4,Sofia,Sofia-City,1137,Bulgaria,АДМИНИСТР. СГРАДА НА КМЕТСТВО ПАНЧАРЕВО,с.ПАНЧАРЕВО,1137,с.ПАНЧАРЕВО,1977,D,B,1362,80424,65.87,24120,129014,5.3488,Сгради за административно обслужване,1,42.5936698913574,23.410415649414,SW
Ulitsa Nikola Bonev,Sofia,Sofia-City,1830,Bulgaria,ДОМ НА КУЛТУРАТА - с.БУХОВО,гр.БУХОВО,1830,гр.БУХОВО,1950,G,B,2888,275060,224,159091,582002,3.6582,Библиотеки и читалища,12,42.7654113769531,23.5684852600097,SW
Ulitsa Filip Makedonski 29,Plovdiv,Plovdiv,4002,Bulgaria,БАН - АДМИН. ПРОИЗВОДСТВ. СГРАДА-ПЛОВДИВ,гр.ПЛОВДИВ,4000,УЛ. ФИЛИП МАКЕДОНСКИ-29,1984,G,C,8856,748994,786.92,344753,1157230,3.3566,Сгради за административно обслужване,1,42.1391830444335,24.7411880493164,SC
Ulitsa Veslets,Pazardzhik,Pazardzhik,4400,Bulgaria,СОЦИАЛЕН ПАТРОНАЖ-ПАЗАРДЖИК,гр.ПАЗАРДЖИК,4400,УЛ. ВЕСЛЕЦ,1981,G,B,536.63,147425,118.87,35140,174769,4.9735,Сгради за административно обслужване,1,42.1955108642578,24.3465995788574,SC
Ulitsa 9-ti septemvri,Bolyarovo,Yambol,8720,Bulgaria,ПОЛИКЛИНИКА,гр.БОЛЯРОВО,8720,БОЛЯРОВО,1987,G,C,1125,132099,404.67,33954.48,182645,5.3791,"Здравеопазване (болници, поликлиники и др.)",7,42.1493034362792,26.807762145996,SE
House Number and Street Not Found,Shumen,Shumen,9705,Bulgaria,"ЦДГ №34 ""ПРОЛЕТНА ДЪГА""",гр.ШУМЕН,9700,СОФИЙСКО ШОСЕ 2,1988,C,C,1644,12401,19.2,8987,67000,7.4552,Детско заведение (градини и ясли),2,43.2813415527343,26.9255390167236,NE
Ulitsa Hristo Batandzhiev 62,Sofia,Sofia-City,1225,Bulgaria,МЕДИЦИНСКИ ЦЕНТЪР №9-ОРЛАНДОВЦИ,гр.СОФИЯ,1000,УЛ. ХРИСТО БАТАНДЖИЕВ-60,1952,G,B,1407,200067,192.7,48020,224129,4.6674,"Здравеопазване (болници, поликлиники и др.)",7,42.7215499877929,23.344669342041,SW
Sv. sv. Konstantin i Elena,Varna,Varna,Postcode Not Found,Bulgaria,ХОСПИС ЗА ВЪЗРАСТНИ ХОРА С УВРЕЖДАНИЯ,гр.ВАРНА,9000,КК КОНСТАНТИН И ЕЛЕНА,1986,D,B,1116,94446,273.95,21070,97640,4.634,"Здравеопазване (болници, поликлиники и др.)",7,43.2301330566406,28.0046596527099,NE
zhk Elenovo-1,Blagoevgrad,Blagoevgrad,2704,Bulgaria,МЖС БЛАГОЕВГРАД,гр.БЛАГОЕВГРАД,2700,"жк Еленово, бл. 41",1984,F,C,6246,261530,180.05,85771,604218,7.0445,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.0034561157226,23.1062355041503,SW
Ulitsa Pop Bogomil 3,Razlog,Blagoevgrad,2760,Bulgaria,ОБЩЕСТВЕНА  СГРАДА ЗА АДМИН. И СОЦИАЛНИ ДИЙНОСТИ,гр.РАЗЛОГ,2760,"УЛ. ""ПОП БОГОМИЛ"" №2",1971,F,B,1603,147084,120.46,35300,251952,7.1374,"Други, вкл. старч. домове, за сираци и изоставени деца, общ-тия, автосервизи",14,41.8863449096679,23.4610176086425,SW
House Number and Street Not Found,Gabrovo,Gabrovo,5306,Bulgaria,ТУ-ГАБРОВО -БИБЛИОТЕКА,гр.ГАБРОВО,5300,УЛ. Х- ДИМИТЪР-4,2007,B,A,2773,23946,28.43,8445.75,72961,8.6387,"Образователни (училища, колежи и университети)",6,42.8756484985351,25.3161907196044,NC
Ulitsa Makedonia 58,Samokov,Sofia,2000,Bulgaria,МЖС ПОПОВИ САН. САМОКОВ,гр.САМОКОВ,2000,ул. МАКЕДОНИЯ № 51,1984,F,C,488,53055,7.23,5601.78,63817.42,11.3923,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.3371391296386,23.5508670806884,SW
Ulitsa Tsar Simeon I 94,Sofia,Sofia-City,1696,Bulgaria,"ОУ №152 ""СВ.СВ. КИРИЛ И МЕТОДИЙ"", ЦДГ №41 и ЧИТАЛИЩЕ",с.МЪРЧАЕВО,1696,с.МЪРЧАЕВО,1922,E,B,1009,114200,344.6,36544,153565,4.2021,"Образователни (училища, колежи и университети)",6,42.5998306274414,23.1708698272705,SW
Ulitsa 34-ti Troyanski Pehoten Polk 2,Lovech,Lovech,5503,Bulgaria,ФОНДОХРАНИЛИЩЕ КЪМ ГХГ И РИМ,гр.ЛОВЕЧ,5500,УЛ. В. ЛЕВСКИ-36,1901,F,B,940,107921,94.95,25478,153160,6.0114,Сгради за административно обслужване,1,43.1288719177246,24.7137813568115,NW
Ulitsa Nikola D. Petkov 3,Sevlievo,Gabrovo,5402,Bulgaria,"СУПЕРМАРКЕТ ""ЛИДЛ"" - СЕВЛИЕВО  ,УЛ. Н. ПЕТКОВ 41А",гр.СЕВЛИЕВО,5400,УЛ. Н. ПЕТКОВ 41А,2009,E,B,1700.7,45973,37.65,8827,41712,4.7255,Магазини за продажба на дребно иедро (супермаркети и молове),9,43.0279884338378,25.0928897857666,NC
Bulevard Dunav,Plovdiv,Plovdiv,4027,Bulgaria,МЖС,гр.ПЛОВДИВ,4000,бул. ДУНАВ № 4 бл. 39,1988,E,C,9336,582453,235.5,59194.7,822839,13.9005,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.1614608764648,24.7316207885742,SC
Ulitsa Ogosta 4,Vratsa,Vratsa,3001,Bulgaria,"ПОМОЩНО УЧИЛИЩЕ ""Д-Р ПЕТЪР БЕРОН""-ВРАЦА",гр.ВРАЦА,3000,"КВ. ""МЕДКОВЕЦ"", УЛ. ""ОГОСТА"" №4",1977,E,B,3853.96,287423,196,60708,314836,5.186,"Образователни (училища, колежи и университети)",6,43.1937713623046,23.5648727416992,NW
Ulitsa Panayot Kardzhiev,Varna,Varna,9023,Bulgaria,БЛОК №213 ВХ. 2,гр.ВАРНА,9000,ЖК ВЛ. ВАРНЕНЧИК,1985,E,B,1827,68917,192.02,10678.2,74092,6.9386,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.2453918457031,27.8546733856201,NE
Ulitsa Angel Kanchev 33,Tryavna,Gabrovo,5350,Bulgaria,СГР. ОТ ЗДРАВНАТА  ИНФРАСТР. НА ОБЩ. ТРЯВНА,гр.ТРЯВНА,5350,"УЛ. ""ЛЯСКОВ ДЯЛ"" 1",1974,G,B,16482.6,1367161,1119.704,430640,1297627,3.0132,Сгради за административно обслужване,1,42.867317199707,25.4927177429199,NC
Ulitsa Radost,Kostenets,Sofia,2035,Bulgaria,"ЧИТАЛИЩЕ ""ГЕО МИЛЕВ""",х.МОМИН ПРОХОД,2035,ГР. МОМИН ПРОХОД,1983,G,C,3388,382477,783.6,86244,363968,4.2202,Библиотеки и читалища,12,42.3309020996093,23.8701515197753,SW
Ulitsa Udrou Uilsan,Plovdiv,Plovdiv,4006,Bulgaria,СКЛАД ТЪРГОВИЯ НА ЕДРО-ПЛОВДИВ,гр.ПЛОВДИВ,4000,УЛ. У. УИЛСЪН 18,2004,D,C,2065,21601,22.72,5253,5500,1.047,Магазини за продажба на дребно иедро (супермаркети и молове),9,42.1510505676269,24.7940444946289,SC
Ulitsa Ivanka Boteva 9,Vratsa,Vratsa,3000,Bulgaria,"ЖИЛ. СГР.-ВРАЦА, ""ИВ. БОТЕВА"" 9",гр.ВРАЦА,3000,ул.ИВАНКА БОТЕВА № 9,1962,F,C,977.25,53297,30.358,7301.7,74109.6,10.1496,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.2054138183593,23.5490493774414,NW
Ulitsa Asen Zlatarov 15,Elhovo,Yambol,8700,Bulgaria,АДМИН. СГРАДА-ЕЛХОВО,гр.ЕЛХОВО,8700,"УЛ. ""ТЪРГОВСКА"" 2",1966,F,B,1111.8,117399,96,NA,137774,NA,Сгради за административно обслужване,1,42.1750297546386,26.5735607147216,SE
Ulitsa Bratya Bakston 120,Plovdiv,Plovdiv,4004,Bulgaria,МЕДИЦИНСКИ КОЛЕЖ-УЧ. СГР.-ПЛОВДИВ,гр.ПЛОВДИВ,4000,"УЛ. ""БРАТЯ БЪКСТОН"" №120",1972,A,A,10042.5,5591,5.91,1699.73,9216,5.422,"Образователни (училища, колежи и университети)",6,42.1201705932617,24.7514400482177,SC
House Number and Street Not Found,Yambol,Yambol,8602,Bulgaria,МЖС,гр.НОВА ЗАГОРА,8900,"УЛ.""ЦАР ОСВОБОДИТЕЛ"" 76А",1986,F,C,1734.6,58471,47.88,9647.92,114479,11.8656,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.4701271057128,26.5215854644775,SE
Ulitsa 2-ra,Saedinenie,Plovdiv,4187,Bulgaria,"НЧ ""ОТЕЦ ПАИСИЙ"" - с. НЕДЕЛЕВО",с.НЕДЕЛЕВО,4187,с.НЕДЕЛЕВО,1964,D,A,734,61508,27,76623,126420,1.6498,Библиотеки и читалища,12,42.3475532531738,24.6126708984375,SC
Ulitsa Pazarska 1,Stara Zagora,Stara Zagora,6000,Bulgaria,"ЦДГ №20 ""МИР""-СТАРА ЗАГОРА",гр.СТАРА ЗАГОРА,6000,"БУЛ. ""ЦАР СИМЕОН ВЕЛИКИ"" №107",1968,C,B,2628,28835,10.63,5230,60135,11.498,Детско заведение (градини и ясли),2,42.4249687194824,25.6289463043212,SE
House Number and Street Not Found,Pernik,Pernik,2302,Bulgaria,МЕДИКО-ДЕНТАЛЕН ЦЕНТЪР,гр.ПЕРНИК,2300,УЛ. КИРИЛ И МЕТОДИЙ-55,1987,G,B,5823,762690,597.84,243330,909000,3.7356,"Здравеопазване (болници, поликлиники и др.)",7,42.6076774597167,23.0462055206298,SW
Ulitsa Hristo Smirnenski,Kostinbrod,Sofia,2230,Bulgaria,ПГВМСС  ОБЩЕЖИТИЕ - КОСТИНБРОД,гр.КОСТИНБРОД,2230,УЛ. ХР. СМИРНЕНСКИ -22,1980,G,B,4600,790906,540,626924,572133,0.9126,"Други, вкл. старч. домове, за сираци и изоставени деца, общ-тия, автосервизи",14,42.8128395080566,23.1990661621093,SW
zhk Orfey 9,Haskovo,Haskovo,6300,Bulgaria,"МЖС-ж.к.""Орфей"" бл.16,вх.А,Б,В""",гр.ХАСКОВО,6300,"ж.к.""Орфей"" бл.16,вх.А,Б,В""",1983,E,C,7938,379045,278.004,113700,780853,6.8676,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.947338104248,25.5577163696289,SC
Ulitsa Dimitar Butanski,Knezha,Pleven,5835,Bulgaria,"У-ЩЕ ""КНЕЖИЦА""-ПОМОЩНА СГРАДА-КНЕЖА",гр.КНЕЖА,3230,КНЕЖА,1923,G,B,413.4,107399,87.96,25493.19,206575.1,8.1031,"Образователни (училища, колежи и университети)",6,43.4927978515625,24.0807647705078,NW
Ulitsa Lyuleburgas 34,Kozloduy,Vratsa,3320,Bulgaria,ЕДНОФАМ. КЪЩА,гр.КОЗЛОДУЙ,3320,УЛ ЛЮЛЕБУРГАС 34,1950,G,C,110.43,13845,1.93,2130,30548,14.3417,Еднофамилни къщи,5,43.7695198059082,23.7229423522949,NW
House Number and Street Not Found,Burgas,Burgas,8010,Bulgaria,"УНИВЕРСИТЕТ "" ПРОФ. АСЕН ЗЛАТАРОВ""-3-ти КОРПУС-БУРГАС",гр.БУРГАС,8000,БУЛ. ПРОФ. ЯКИМОВ-1,1996,G,B,6860,312895,316.53,294598,1194778,4.0556,"Образователни (училища, колежи и университети)",6,42.5268440246582,27.4484348297119,SE
Ulitsa 1-va,Tervel,Dobrich,9490,Bulgaria,КМЕТСТВО - с. ОРЛЯК,с.ОРЛЯК,9490,с.ОРЛЯК,1967,F,A,909.8,139445,58.28,16743,163475.5,9.7638,Сгради за административно обслужване,1,43.6346435546875,27.3672275543212,NE
House Number and Street Not Found,Karnobat,Burgas,8400,Bulgaria,"НЧ ""ДИМИТЪР ПОЛЯНОВ-1862""",гр.КАРНОБАТ,8400,ПЛ. 3 МАРТ,1959,G,B,2089,420311,1032,84062,369690,4.3978,Библиотеки и читалища,12,42.6477584838867,26.9838428497314,SE
Ulitsa Otets Paisiy 19,Svilengrad,Haskovo,6500,Bulgaria,"СОУ ""Д-Р ПЕТЪР БЕРОН""",гр.СВИЛЕНГРАД,6500,"УЛ. ""ОТЕЦ ПАИСИЙ"" №28",1976,C,C,6214,21318,5.79,2427.48,2900,1.1946,"Образователни (училища, колежи и университети)",6,41.7718353271484,26.2063617706298,SC
Ulitsa Pazarska,Vidin,Vidin,3700,Bulgaria,МЛАДЕЖКИ ДОМ,гр.ВИДИН,3700,УЛ. ПАЗАРСКА 2,1971,G,C,2939,539212,370,417052,723041,1.7336,Библиотеки и читалища,12,43.9897727966308,22.8756160736083,NW
Bulevard 3-ti mart 3,Gabrovo,Gabrovo,5300,Bulgaria,ДКЦ-1-ПЪРВА БАЗА-ГАБРОВО,гр.ГАБРОВО,5300,"БУЛ. ""ТРЕТИ МАРТ"" №3",1972,F,A,5410,619798,622.54,134830,1038624,7.7032,"Здравеопазване (болници, поликлиники и др.)",7,42.8597984313964,25.3225002288818,NC
Ulitsa Tsvyatko Radoynov,Sredets,Burgas,8314,Bulgaria,СТОЛОВА,с.ДЕБЕЛТ,8314,с.ДЕБЕЛТ,1988,E,C,1986,129512,138.8,16416,110842,6.752,Хотели и ресторанти,8,42.3917732238769,27.2674617767333,SE
Ulitsa Han Asparuh,Saedinenie,Plovdiv,4194,Bulgaria,"НЧ ""ХР. СМИРНЕНСКИ"" - с. МАЛЪК ЧАРДАК",с.МАЛЪК ЧАРДАК,4194,с.МАЛЪК ЧАРДАК,1964,F,A,614,62642,28,64975,121488,1.8697,Библиотеки и читалища,12,42.2865753173828,24.6347980499267,SC
Ulitsa Maragidik 38,Plovdiv,Plovdiv,4000,Bulgaria,"СОУ ""ЛЮБЕН КАРАВЕЛОВ""",гр.ПЛОВДИВ,4000,УЛ. МАРА ГИДИК-37,1915,D,C,1171,50771,199,16435,90315,5.4952,"Образователни (училища, колежи и университети)",6,42.1502265930175,24.7599201202392,SC
Ulitsa Aleksandar Stamboliyski 10,Saedinenie,Plovdiv,4190,Bulgaria,"НЧ ""СЪЕДИНЕНИЕ-1885""",гр.СЪЕДИНЕНИЕ,4190,гр.СЪЕДИНЕНИЕ,1964,E,A,1450,107070,48,103114,187980,1.823,Библиотеки и читалища,12,42.2746925354003,24.5466537475585,SC
House Number and Street Not Found,Malko Tarnovo,Burgas,8162,Bulgaria,СБДПЛ - МАЛКО ТЪРНОВО,гр.МАЛКО ТЪРНОВО,8350,КНЯЗ БОРИС-52,1978,D,A,2184,190813,390.87,30241.55,105936,3.5029,"Здравеопазване (болници, поликлиники и др.)",7,41.9764022827148,27.5236835479736,SE
House Number and Street Not Found,Sofia,Sofia-City,1113,Bulgaria,ЦУ НА МВнР,гр.СОФИЯ,1000,УЛ. АЛ. ЖЕНДОВ-2,1983,E,B,44420,1645577,NA,354490,2753662,7.7679,Сгради за административно обслужване,1,42.6805953979492,23.3551635742187,SW
House Number and Street Not Found,Blagoevgrad,Blagoevgrad,2700,Bulgaria,ОБСЕРВАТОРИЯ БЛАГОЕВГРАД,гр.БЛАГОЕВГРАД,2700,гр.БЛАГОЕВГРАД,1984,F,A,593,57393,49.25,22645.71,133798,5.9083,"Други, вкл. старч. домове, за сираци и изоставени деца, общ-тия, автосервизи",14,42.0208587646484,23.0944385528564,SW
Ulitsa Sv. sv. Kiril i Metodiy,Avren,Varna,9125,Bulgaria,"НЧ ""НИКОЛА ЙОНКОВ ВАПЦАРОВ""-с.СИНДЕЛ",с.СИНДЕЛ,9125,С. СИНДЕЛ,1976,E,B,2823,169713,143.93,50714,222278,4.3829,Библиотеки и читалища,12,43.1096801757812,27.60542678833,NE
Ploshtad Grivitsa,Shumen,Shumen,9702,Bulgaria,"НЧ ""СТОЯН ЧИЛИНГИРОВ""",гр.ШУМЕН,9700,ПЛ. ГРИВИЦА,1963,E,B,808,111474,76.17,26543,144870,5.4579,Библиотеки и читалища,12,43.2750091552734,26.9098606109619,NE
Ulitsa Radetski,Kozloduy,Vratsa,3320,Bulgaria,"СУПЕРМАРКЕТ ""ЛИДЛ"" - КОЗЛОДУЙ",гр.КОЗЛОДУЙ,3320,УЛ. ХР. БОТЕВ 2А,2011,E,B,1701,40521,38.53,8399,37343,4.4461,Магазини за продажба на дребно иедро (супермаркети и молове),9,43.7922477722167,23.6977996826171,NW
Ulitsa Tsar Ivan Aleksandar 60,Lovech,Lovech,5504,Bulgaria,"ОБЩЕЖИТИЕ-КВ. ГОЗНИЦА, ГР. ЛОВЕЧ",гр.ЛОВЕЧ,5500,КВ. ГОЗНИЦА,1982,F,B,2786,214376,214.36,45056,360932.6,8.0107,"Други, вкл. старч. домове, за сираци и изоставени деца, общ-тия, автосервизи",14,43.1419258117675,24.6854553222656,NW
Ulitsa Dame Gruev 38,Blagoevgrad,Blagoevgrad,2700,Bulgaria,АДМИН. СГРАДА НА ИО - БЛАГОЕВГРАД,гр.БЛАГОЕВГРАД,2700,УЛ. ДАМЕ ГРУЕВ-38,1972,B,B,3394.74,101901,83.42,18505.41,91160.95,4.9261,Сгради за административно обслужване,1,42.012222290039,23.0922393798828,SW
Bulevard Yuriy Gagarin,Pernik,Pernik,2303,Bulgaria,"СУПЕРМАРКЕТ ""ЛИДЛ"" - ПЕРНИК, УЛ. ""ЮРИЙ ГАГАРИН"" № 3В",гр.ПЕРНИК,2300,"УЛ. ""ЮРИЙ ГАГАРИН"" № 3В",2009,E,B,1386.63,32123,30.45,6189,31020,5.0121,Магазини за продажба на дребно иедро (супермаркети и молове),9,42.6108703613281,23.0937614440917,SW
zhk Alen mak 10,Blagoevgrad,Blagoevgrad,2704,Bulgaria,МЖС,гр.БЛАГОЕВГРАД,2700,"ж.к. Ален мак бл.10, 11",1979,F,C,5248,177094,69.25,39077,678956.6,17.3748,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.0002059936523,23.1016597747802,SW
Ulitsa Rila 19,Plovdiv,Plovdiv,4000,Bulgaria,"ПГ ПО ОБЛЕКЛО ""АНА МАЙ"" РАБОТИЛНИЦА - ПЛОВДИВ",гр.ПЛОВДИВ,4000,ИВАН РИЛСКИ 19,1948,G,C,776,47356,38.78,11980,72357,6.0398,"Образователни (училища, колежи и университети)",6,42.1311874389648,24.7651824951171,SC
House Number and Street Not Found,Blagoevgrad,Blagoevgrad,2700,Bulgaria,МЖС-БЛАГОЕВГРАД,гр.БЛАГОЕВГРАД,2700,бул. СВ. СВ. КИРИЛ И МЕТОДИЙ № 20,1972,F,C,4395.7,204763,167.7,39066,430772,11.0267,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.0168762207031,23.0888175964355,SW
House Number and Street Not Found,Sliven,Sliven,8800,Bulgaria,ПГ ПО МЕХАНОТЕХНИКА-АВТОСЕРВИЗ С УЧ. КАБИНЕТИ-СЛИВЕН,гр.СЛИВЕН,8800,ПРОМИШЛЕНА ЗОНА,1980,F,C,550,92325,63.06,53815,108919,2.0239,"Образователни (училища, колежи и университети)",6,42.6529808044433,26.3282470703125,SE
Ulitsa Tsar Simeon & Bulevard Hristo Botev,Vratsa,Vratsa,3000,Bulgaria,ДРАМАТИЧЕН КУКЛЕН ТЕАТЪР,гр.ВРАЦА,3000,"ПЛ. ""ХРИСТО БОТЕВ""",1978,F,B,11071.73,1848665,1522.9,539767,1667529,3.0893,"Театри,кина,опери,худож.галерии",13,43.2136116027832,23.5442390441894,NW
Ulitsa Graf Ignatiev 2,Karnobat,Burgas,8400,Bulgaria,АДМИН. СГРАДА,гр.КАРНОБАТ,8400,ГРАФ ИГНАТИЕВ 2,1970,E,C,856.3,54593,40,13102,92479,7.0583,Сгради за административно обслужване,1,42.6486091613769,26.9873733520507,SE
Ulitsa Druzhba,Loznitsa,Razgrad,7290,Bulgaria,"ЦДГ ""ВЕСЕЛИЕ""",гр.ЛОЗНИЦА,7290,гр.ЛОЗНИЦА,1992,B,B,2667,19563,46.79,3520,25473,7.2366,Детско заведение (градини и ясли),2,43.3718299865722,26.6082324981689,NC
House Number and Street Not Found,Plovdiv,Plovdiv,4030,Bulgaria,АДМИН. СГРАДА НА НАП-ПЛОВДИВ,гр.ПЛОВДИВ,4000,УЛ. СКОПИЕ-106,1974,D,B,6968.27,129187,88.23,38750,458320,11.8276,Сгради за административно обслужване,1,42.1256065368652,24.7539653778076,SC
Ulitsa Kalomenska & Ulitsa Opalchenska / Ulitsa P. Lazarov,Popovo,Targovishte,7800,Bulgaria,"МУЗИКАЛНА ШКОЛА КЪМ НЧ ""КИРИЛ И МИТОДИ-1882""",гр.ПОПОВО,7800,УЛ. КОЛОМЕНСКА 7,1951,G,B,266,27832,22.8,10298,56819,5.5174,Библиотеки и читалища,12,43.3499526977539,26.2197246551513,NE
Ulitsa D. Debelyanov,Belogradchik,Vidin,3900,Bulgaria,ХУДОЖЕСТВЕНА ГАЛЕРИЯ,гр.БЕЛОГРАДЧИК,3900,УЛ. КНЯЗ БОРИС 43,1931,F,B,608,93682.4,23.32,6265,83888.3,13.3899,"Театри,кина,опери,худож.галерии",13,43.6255493164062,22.6820411682128,NW
Bulevard Doyran 37,Shumen,Shumen,9700,Bulgaria,"НЧ ""НАЗЪМ ХИКМЕТ""",гр.ШУМЕН,9700,УЛ. РАКОВСКИ-37,1921,F,B,253,57807,39.47,13363,55815,4.1768,Библиотеки и читалища,12,43.2681541442871,26.9080009460449,NE
House Number and Street Not Found,Valchi dol,Varna,9290,Bulgaria,"СТОЛОВА СВИНЕКОМПЛЕКС ""БРЕСТАК""",с.БРЕСТАК,9290,с.БРЕСТАК,1985,C,B,384,13530,8.77,1406,13022,9.2617,"Други, вкл. старч. домове, за сираци и изоставени деца, общ-тия, автосервизи",14,43.4599304199218,27.5392799377441,NE
Ulitsa Akademik Stefan Mladenov 13,Vidin,Vidin,3700,Bulgaria,"СУПЕРМАРКЕТ ""ЛИДЛ"" - ВИДИН",гр.ВИДИН,3700,УЛ. АКАД. СТ. МЛАДЕНОВ 20,2009,E,B,1387,33473,30.3,6761,28486,4.2132,Магазини за продажба на дребно иедро (супермаркети и молове),9,43.9909858703613,22.8734302520751,NW
House Number and Street Not Found,Silistra,Silistra,7501,Bulgaria,"СУПЕРМАРКЕТ ""ЛИДЛ"" - СИЛИСТРА",гр.СИЛИСТРА,7500,УЛ. БЕСАРАБИЯ 2,2009,E,B,1636,55539,45.5,10664,46860,4.3942,Магазини за продажба на дребно иедро (супермаркети и молове),9,44.1147689819335,27.2739906311035,NC
Ulitsa Dimitar Shishmanov 3,Sofia,Sofia-City,1700,Bulgaria,ЖИЛИЩНА СГРАДА-СОФИЯ,гр.СОФИЯ,1000,ЛОЗЕНЕЦ-УЛ. Д. ШИШМАНОВ-3,1995,B,B,2860,4501,9.22,819.14,8416,10.2741,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.6503524780273,23.3339347839355,SW
House Number and Street Not Found,Balchik,Dobrich,9601,Bulgaria,ХУДОЖЕСТВЕНА ГАЛЕРИЯ,гр.БАЛЧИК,9600,гр.БАЛЧИК,1985,C,B,980,17387,10.96,2610,23162,8.8743,"Театри,кина,опери,худож.галерии",13,43.4269065856933,28.1618175506591,NE
Ulitsa Bratya Miladinovi 8,Gotse Delchev,Blagoevgrad,2900,Bulgaria,"СУПЕРМАРКЕТ ""ЛИДЛ"" - ГОЦЕ ДЕЛЧЕВ",гр.ГОЦЕ ДЕЛЧЕВ,2900,"УЛ. ""ПАНАИРСКИ ЛИВАДИ"" №3",2010,E,B,1635.68,41329,36.82,7950,33660,4.2339,Магазини за продажба на дребно иедро (супермаркети и молове),9,41.5708122253417,23.7228107452392,SW
House Number and Street Not Found,Sliven,Sliven,8800,Bulgaria,МЖС БЛ 1 ЖК КЛУЦОХОР СЛИВЕН,гр.СЛИВЕН,8800,жк. Клуцохор бл. 1 вх.Г ап.2,1985,E,C,12035.25,602876,754.18,56368.6,549235.4,9.7436,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.6780586242675,26.3022537231445,SE
Ulitsa Vladimir Poptomov 74,Belitsa,Blagoevgrad,2780,Bulgaria,СГРАДА МУЗЕЙ,гр.БЕЛИЦА,2780,1,1980,F,B,1469.57,220596,451.5,44119,159451,3.6141,"Театри,кина,опери,худож.галерии",13,41.9509773254394,23.5586986541748,SW
Bulevard Hristo Smirnenski 2B,Silistra,Silistra,7500,Bulgaria,АДМИН. СГРАДА - БИВШ ПРОФСЪЮЗЕН ДОМ,гр.СИЛИСТРА,7500,УЛ. ХР. СМИРНЕНСКИ-2,1963,G,B,1863,161585,331.03,39911,307282,7.6991,Сгради за административно обслужване,1,44.1200904846191,27.2649803161621,NC
Ulitsa Dimitar Blagoev 15,Dimitrovgrad,Haskovo,6400,Bulgaria,"СУПЕРМАРКЕТ ""ЛИДЛ"" - ДИМИТРОВГРАД",гр.ДИМИТРОВГРАД,6400,БУЛ. Д. БЛАГОЕВ 16,2009,E,B,1636,5634,4.95,1086,3142,2.8931,Магазини за продажба на дребно иедро (супермаркети и молове),9,42.0553321838378,25.594102859497,SC
